BAC Date,C Date,GS Date,JPM Date,MS Date,WFC Date,BAC,BAC Adj Close,BAC Close,BAC High,BAC Low,BAC Open,BAC Volume,Bank Ticker Stock Info,C,C Adj Close,C Close,C High,C Low,C Open,C Volume,Correlation 1-2,Correlation 1-3,Correlation 1-4,Correlation 1-5,Correlation 1-6,Correlation 2-3,Correlation 2-4,Correlation 2-5,Correlation 2-6,Correlation 3-4,Correlation 3-5,Correlation 3-6,Correlation 4-5,Correlation 4-6,Correlation 5-6,GS,GS Adj Close,GS Close,GS High,GS Low,GS Open,GS Volume,JPM,JPM Adj Close,JPM Close,JPM High,JPM Low,JPM Open,JPM Volume,MS,MS Adj Close,MS Close,MS High,MS Low,MS Open,MS Volume,WFC,WFC Adj Close,WFC Close,WFC High,WFC Low,WFC Open,WFC Volume
01-02-2006,01-02-2006,01-02-2006,01-02-2006,01-02-2006,01-02-2006,15854908.65,32.49733734,43.95000076,44.24000168,43.86000061,44.09999847,15854700,20,1847414.22,356.7202759,463.2999878,467.2000122,461.1000061,465.8999939,1845200,,,,,,,,,,,,,,,,3636583.56,117.0696411,141.7100067,142.9499969,140.4299927,141.3999939,3635900,11429986.68,27.03370094,39.88000107,40.22000122,39.66999817,39.88000107,11429800,3496285.052,39.27194214,61.83000183,61.95999908,60.88999939,61.09999847,3496000,8224343.861,20.25574112,30.92000008,30.98500061,30.75,30.95000076,8224200
02-02-2006,02-02-2006,02-02-2006,02-02-2006,02-02-2006,02-02-2006,14745306.85,32.12024307,43.43999863,43.97000122,43.36999893,43.95000076,14745100,21,2327574.384,351.5842285,451.7999878,461,451,459,2325400,,,,,,,,,,,,,,,,3711687.699,117.7388229,142.5200043,143.7700043,141.3999939,142.2700043,3711000,10309286.73,27.10827255,39.99000168,40.15999985,39.59000015,39.88000107,10309100,3470084.826,38.91625977,61.27000046,62.13999939,60.84999847,61.65000153,3469800,9830743.049,20.07886314,30.64999962,30.89500046,30.60000038,30.82500076,9830600
03-02-2006,03-02-2006,03-02-2006,03-02-2006,03-02-2006,03-02-2006,17097204.72,31.86144829,43.09000015,43.54999924,42.91999817,43.29999924,17097000,22,1665656.151,350.6505127,450.6000061,456.1000061,448.1000061,450.7000122,1663500,,,,,,,,,,,,,,,,4179586.031,117.9205627,142.7400055,143.1199951,140.6999969,141.5500031,4178900,10440885.28,26.79644394,39.52999878,40.09999847,39.40000153,39.45000076,10440700,3891883.574,39.02423096,61.43999863,62.15000153,60.36000061,60.59999847,3891600,7532541.969,19.99370575,30.52000046,30.71999931,30.30999947,30.42499924,7532400
06-02-2006,06-02-2006,06-02-2006,06-02-2006,06-02-2006,06-02-2006,12554805.73,32.06848526,43.36999893,43.65000153,43.24000168,43.40000153,12554600,23,1149559.907,351.5065613,451.7000122,453.2000122,450.8999939,452.6000061,1147400,,,,,,,,,,,,,,,,3849989.117,117.9866486,142.8200073,144.1000061,141.6000061,142.6100006,3849300,6591984.485,26.73542786,39.43999863,39.59999847,39.31000137,39.40000153,6591800,2629785.338,39.20842743,61.72999954,61.90999985,61.22999954,61.25999832,2629500,7290141.882,19.99697876,30.52499962,30.60000038,30.33499908,30.42499924,7290000
07-02-2006,07-02-2006,07-02-2006,07-02-2006,07-02-2006,07-02-2006,13914406.58,32.15720749,43.49000168,43.86999893,43.45999908,43.59999847,13914200,24,1209555.773,350.5726929,450.5,453.7999878,450,450.8999939,1207400,,,,,,,,,,,,,,,,5208379.847,115.227417,139.4799957,143.3099976,139.4799957,142.3500061,5207700,8590683.723,26.61341476,39.25999832,39.59999847,39.04999924,39.20000076,8590500,3811582.136,38.44624329,60.52999878,61.54000092,60.27000046,61.34999847,3811300,8095142.218,20.02317619,30.56500053,30.68000031,30.45000076,30.5,8095000
08-02-2006,08-02-2006,08-02-2006,08-02-2006,08-02-2006,08-02-2006,11101806.57,32.29031372,43.66999817,43.72000122,43.34000015,43.54999924,11101600,25,1053465.885,352.9850464,453.6000061,455.2999878,450.7000122,453.2999878,1051300,,,,,,,,,,,,,,,,4482079.089,116.5987549,141.1399994,141.9299927,139.3200073,140.1000061,4481400,10065384.59,26.84389496,39.59999847,39.61999893,39.25,39.27999878,10065200,2718283.496,38.91625977,61.27000046,61.36000061,60.79999924,61.15000153,2718000,5924542.374,20.08868599,30.66500092,30.72500038,30.39500046,30.5,5924400
09-02-2006,09-02-2006,09-02-2006,09-02-2006,09-02-2006,09-02-2006,13766407.74,32.40860748,43.83000183,44.04999924,43.70000076,43.75,13766200,26,1359884.531,356.3312378,457.8999939,461,454.2999878,455,1357700,,,,,,,,,,,,,,,,3060181.689,116.35923,140.8500061,142.8500061,140.4900055,141.1399994,3059500,8496485.729,26.95913887,39.77000046,40.02999878,39.43999863,39.52999878,8496300,2714284.309,38.85909271,61.18000031,61.90000153,61.09999847,61.27000046,2714000,7052742.596,20.05593109,30.61499977,30.81500053,30.50499916,30.60499954,7052600
10-02-2006,10-02-2006,10-02-2006,10-02-2006,10-02-2006,10-02-2006,9039107.595,32.47516251,43.91999817,44.02000046,43.40999985,43.77000046,9038900,27,1274187.454,357.6541443,459.6000061,460.7000122,452.5,457,1272000,,,,,,,,,,,,,,,,4433777.456,116.3261414,140.8099976,141.8500061,137.8000031,140.6699982,4433100,8790685.871,27.06081963,39.91999817,39.97999954,39.29000092,39.61999893,8790500,4483880.167,38.30651093,60.31000137,61.13999939,59.40999985,61,4483600,6501343.26,20.2197094,30.86499977,30.96999931,30.5699997,30.63500023,6501200
13-02-2006,13-02-2006,13-02-2006,13-02-2006,13-02-2006,13-02-2006,8329706.972,32.31249619,43.70000076,43.95999908,43.29999924,43.70000076,8329500,28,1160489.275,355.4754028,456.7999878,462.2999878,454.1000061,460.6000061,1158300,,,,,,,,,,,,,,,,2155875.618,115.367836,139.6499939,141.8000031,139.1499939,139.6499939,2155200,7791786.419,26.95913887,39.77000046,40.31000137,39.61000061,39.77000046,7791600,4105177.969,37.98893356,59.81000137,60.58000183,59.38999939,60.20000076,4104900,5401543.269,20.19350624,30.82500076,30.875,30.60000038,30.77499962,5401400
14-02-2006,14-02-2006,14-02-2006,14-02-2006,14-02-2006,14-02-2006,17049408.95,32.65262222,44.15999985,44.49000168,43.72999954,43.91999817,17049200,29,1520197.499,358.8992615,461.2000122,462.5,457.1000061,457.7999878,1518000,,,,,,,,,,,,,,,,3003781.197,117.1274719,141.7799988,142.3200073,138.7700043,141.1999969,3003100,12904286.92,27.18284035,40.09999847,40.33000183,39.65000153,39.65999985,12904100,3715377.704,38.15406418,60.0699997,60.45999908,59.20999908,59.81000137,3715100,8263745.271,20.52105713,31.32500076,31.58499908,30.88999939,30.95000076,8263600
